File Name,Skills,Certifications,Tools,Additional Expertise
Resume_420," - Superb communication both verbal and written - Reliability and self-sufficiency - Strong work ethic - Organizational and problem-solving skills - Team player and multi-tasker - Career-minded, result-driven, and goal-oriented - Adaptable, positive, eager to contribute in any capacity - Microsoft Office - Fluent in French and English",None mentioned, - Microsoft Office," - Office administration and public speaking - Classroom management, behavior modification, and individualized support - Relationship-building and cultivating positive connections - Complex problem-solving and conflict resolution - Preparing reports, taking messages, and managing correspondence - Exceptional customer service and decision-making skills - Coordinating meetings, trips, and preparing responses on behalf of the company - Organizing, planning, and managing daily clerical needs - Handling correspondence and managing deliveries - Oral and written communication, team leadership, and relationship-building"
Resume_1309, - Journalism - Editorial - Leadership - New Media - Digital Media - Business Development - Audience Development - Strategic Planning - Product Management - Social Media - Online Journalism - Mobile - Advertising - Marketing - Digital Marketing - Media Strategy - Editorial Writing - Editing - Storytelling - Multimedia Storytelling - Content Strategy - Content Management - SEO - Organizational Skills - Consultant - Digital Analytics - Staff Development - Blogging - Media Relations - Art Director - Artificial intelligence - Business development - Consultant - Content - Clients - Editor - Innovation - Latin - Director - Managing - Marketing - Newspaper - Newspapers - Publications - Radio - Reporter - Research - Spanish - Television - Unique - Video - Websites, None mentioned," - Semantic intelligence - Web 3.0 - Artificial intelligence (applied to digital media) - Digital marketing (Incuentra.com, nlocal.es, nlocal.mx)"," - Specialized in new media (digital, social, audiovisual), business development, newsroom organization and media management - Extensive experience in the transformation of legacy media (especially newspapers and television) into digital and multimedia brands, and in the launching of new digital media - Winner of several awards and distinctions, including Society for News Design (SND) and José Martí Awards - Chosen as one of the most influential Spanish journalists on the Internet - Journalism professor at several universities - Frequent speaker at professional media events, conferences and workshops - Co-author of several books about journalism and digital media - Business and technology consultant in semantic intelligence, web 3.0 and artificial intelligence applied to digital media"
Resume_2023, - Advanced problem solving - Project planning and development - Finance and accounting - Employee relations - Team building - Negotiations expert - Strategic planning - Contract review and recommendations - Safety Oversight - Prime Contract Negotiations - Budgeting - Competitive Contracts Management - Marketing - Microsoft Office - Microsoft Project - Pro Core Project Management - Personnel Management - Procurement - Project Management - Systems Protocols and implementation - Quality Control, - LEED AP - ICC Class A License - ASHE (American Society of Health Engineers), - Incident and Issues Tracking (IIT) system - Electronic accounts payable system," - Over 30+ years of experience in commercial construction - Proactive, resourceful and hardworking with strong follow-through - Excellent problem-solving and time management abilities - Experienced in opening new operations, establishing protocols and procedures, and managing satellite locations - Skilled in project budgeting, change management, and client relationship management - Expertise in construction project management, from budgeting to closeout"
Resume_1360, - Delivery - Detail oriented - English - Inventory - Inventory Management - Logistics - Producing - Purchasing - Quality - Retail - Scheduling - Spanish - Work-flow, None mentioned, - Inventory management - Scheduling, - Knowledge of international cuisine - Experienced in preparing large volumes of food quickly and efficiently - Systematically controlling food quality and costs - Developing new menu items to enhance catering and retail food service revenue and productivity goals
Resume_2186," - KYC (Know Your Customer) - Anti Money Laundering - Legal documentation - Excellent organizational and time management skills - Strong interpersonal and communication skills - Microsoft Office (Excel, Word, PowerPoint, SharePoint, Project) - Employee relations (hiring, terminations, performance management, development) - Adobe products (Photoshop, Lightroom, Illustrator) - Spanish fluency (oral and written) - Credit - Critical thinking - Resolving customer concerns - Database management - Decision-making - Delivery - Documentation - Due diligence - Front Office - Funds - Investments - Legal - Management reporting - Problem solving - Process improvement - Quality Assurance - Real Estate - Sales - Self-starter"," - SEC Licenses Series 6 and 63 (Expired, willing to retake)"," - Microsoft Office (Excel, Word, PowerPoint, SharePoint, Project) - Adobe products (Photoshop, Lightroom, Illustrator) - KYC database - OFAC (Office of Foreign Assets Control) reviews"," - Experienced in managing teams in a fast-paced environment - Solid background in building strong and effective teams - Proficient in enhancing client experience, mitigating risk, and identifying areas of improvement - Experienced in conducting Quality Assurance reviews and approving due diligence reviews - Skilled in collaborating and managing cross-functional projects - Expertise in coordinating with various teams (Front Office, Credit, Compliance, AML compliance, global client onboarding) to understand client/deal structure and agree on requirements/responsibilities - Experienced in developing and implementing department policies and procedures to improve service and efficiency - Skilled in leveraging technology to increase efficiency and staff performance - Experienced in managing a portfolio of clients with deposits in excess of $80 billion - Expertise in reviewing complex Cash Collateral agreements and client documentation to ensure compliance - Skilled in escalating and resolving key issues and complex client concerns - Experienced in analyzing complex data for management reporting and decision-making - Skilled in fostering a proactive workplace environment to increase employee participation and performance"
Resume_602, - Leadership Development - Project Management - Budgeting - Employee Management - Operations Management - Business Management, - CPR - ACE - TAAF Sports Management School, - Multiple software applications - Supply chain management initiatives - Inventory control - Flexible manufacturing practices, - Research - Writing - Case management - Client relations - Inventory management - Risk management - Staff development - Marketing - Team building - Financial management
Resume_173, - AutoCAD R14 & 2000 - Aperture v. 5.0 - Microstation 7.1 - Adobe Illustrator - Photoshop 6.0 - Excel - Word - Broadband - Consultant - Cost analysis - Design and construction - HVAC - Interior design - Investments - Lighting - Marketing material - Mechanical - Meetings - Presentations - Progress - Proposals - Proposal - Quality - Renovation - Renovations - Retail - Supervision - Surveys,None mentioned, - AutoCAD R14 & 2000 - Aperture v. 5.0 - Microstation 7.1 - Adobe Illustrator - Photoshop 6.0 - Excel - Word - Broadband," - Project management - Construction administration - Client presentations - Researching building technologies and finishes - Maintaining design library and scheduling product presentations - Collaborating with domestic and international firms - Facilitating project initiation and consultant selection - Coordinating information flow between disciplines - Evaluating design consultant performance - Preparing marketing materials for clients, directors, and executives - Cost analysis - Historic restoration and preservation"
Resume_599," - Sales - Business development - Marketing - Market analysis - Business planning - Coaching - Client relations - Hospice/home health management - Durable medical equipment (DME) - Pharmaceuticals - Consultative sales - Active listening - Education - Communication (team member, presenter, trainer) - Medicare regulations for homecare and hospice",None explicitly mentioned, - Brochure development - Budget management - Contracts - Notes and follow-up - Weekly conference calls - Daily/weekly/monthly goal setting and reporting," - Rebranding and growing an agency from 8 to 130 patients - Ranked #1 Senior Provider Relations Manager nationally - Top performer in a 3-state region for 5 consecutive years - Developing and presenting CEU in-service trainings - Managing and coaching a team of 10 salespeople - Developing marketing tools and strategic sales plans - Establishing annual, monthly, weekly, and daily goals - Consistent follow-up with hand-written thank-you notes"
Resume_435, - Analytical Thinking - Knowledge of child development and the impact of abuse/trauma on children's functioning - Even Temperament - Excellent communication - Decision Making - Ethics - Interpersonal Relations - Interpersonal Awareness - Results Oriented - Computer literate - Valid Texas driver's license/insurance - Great communication and note-taking skills,None explicitly mentioned, - Conveyor belts and carousels - Fire and safety doors," - Knowledge of the challenges and difficulties that children living in stressful family situations face - Experience working with vulnerable children and families - Experience with the impact of abuse and neglect on children's development and functioning - Experience providing life skill training, mentoring, and support to students - Experience assisting students with planning for college/university attendance - Experience empowering students to develop skills in leadership, communication, decision-making, and healthy boundaries - Experience providing support to students with learning difficulties - Experience maintaining close links with parents/family and encouraging their involvement - Experience reporting incidents of child protection/neglect - Experience planning and organizing successful fundraisers - Experience liaising with the local community - Experience assessing, budgeting, and executing organizational goals - Experience developing Bible studies for students - Experience building relationships to generate financial support"
Resume_188," - Digital Illustration of art concepts for print, fabric and web applications using Adobe Creative Suite - Composition and layout for marketing collateral using InDesign - Manual sketching and mood boarding for look development of characters, live or digital, in accordance with director - 2D Pattern engineering and technical sketching for streetwear and theatrical costumes, using Gerber Computer Aided Design Systems - Photoshop, Illustrator, InDesign - Microsoft Office Suite - Windows & Mac environments - ZBrush, Cinema 4D, VUE"," - Certificate of Proficiency: Graphic Design / Animation from Studio Arts, Ltd. (2016) - Computer Aided Design, Lectra / Gerber Systems from Art Institute & LA Trade Tech - Digital Design, Patternmaking, Grading, and Marker-Making coursework from Art Institute & LA Trade Tech - Associate of Arts: Fashion Design from Brooks College"," - Gerber Systems (CAD) - Adobe Creative Suite (Photoshop, Illustrator, InDesign) - Microsoft Office Suite - ZBrush, Cinema 4D, VUE - Lectra / Gerber Systems (Computer Aided Design)", - Self-motivated professional - Resourceful researcher - Quick learner - Broad availability - Digital and Manual Illustration - Managed pattern and grading timelines for stage costumes and cast member uniforms - Quality assurance and determined Spec guidelines - Problem-solving for sizing and fit challenges - Technical Illustration for PLM documentation - Reduced garment manufacturing cost by over 60% and reduced production lead times by about 50% by creating and enforcing production efficiency standards and reducing waste - Maintained BOMs - Refreshed and customized theatrical costumes for each play - Assisted in prop-making and decoration - Maintained costume library - Assisted AFI students in developing character looks for their short film projects - Worked closely with director and head designer
